,0
1021,Indiana
1022,Iowa
1023,Kansas
1024,Kentucky
1025,Louisiana
1026,Maine
1027,Maryland
1028,Massachusetts
1029,Michigan
1030,Minnesota
1031,Mississippi
1032,Missouri
1033,Montana
1034,Nebraska
1035,Nevada
1036,New Hampshire
1037,New Jersey
1038,North Carolina
1039,North Dakota
1040,Ohio
1041,Oklahoma
1042,Oregon
1043,Pennsylvania
1044,Rhode Island
1045,South Carolina
1046,South Dakota
1047,Tennessee
1048,Texas
1049,Utah
1050,Vermont
1051,Virginia
1052,Washington
1053,West Virginia
1054,Wisconsin
1055,Wyoming
1056,Arizona
1057,Arkansas
1058,Colorado
1059,Connecticut
1060,Delaware
1061,Florida
1062,Georgia
1063,Idaho
1064,Illinois
1065,Indiana
1066,Iowa
1067,Kansas
1068,Kentucky
1069,Louisiana
1070,Maine
1071,Maryland
1072,Massachusetts
1073,Michigan
1074,Minnesota
1075,Mississippi
1076,Missouri
1077,Montana
1078,Nebraska
1079,Nevada
1080,New Hampshire
1081,New Jersey
1082,North Carolina
1083,North Dakota
1084,Ohio
1085,Oklahoma
1086,Oregon
1087,Pennsylvania
1088,Rhode Island
1089,South Carolina
1090,South Dakota
1091,Tennessee
1092,Texas
1093,Utah
1094,Vermont
1095,Virginia
1096,Washington
1097,West Virginia
1098,Wisconsin
1099,Wyoming
1100,Arizona
1101,Arkansas
1102,Colorado
1103,Connecticut
1104,Delaware
1105,Florida
1106,Georgia
1107,Idaho
1108,Illinois
1109,Indiana
1110,Iowa
1111,Kansas
1112,Kentucky
1113,Louisiana
1114,Maine
1115,Maryland
1116,Massachusetts
1117,Michigan
1118,Minnesota
1119,Mississippi
1120,Missouri
1121,Montana
1122,Nebraska
1123,Nevada
1124,New Hampshire
1125,New Jersey
1126,North Carolina
1127,North Dakota
1128,Ohio
1129,Oklahoma
1130,Oregon
1131,Pennsylvania
1132,Rhode Island
1133,South Carolina
1134,South Dakota
1135,Tennessee
1136,Texas
1137,Utah
1138,Vermont
1139,Virginia
1140,Washington
1141,West Virginia
1142,Wisconsin
1143,Wyoming
1144,Arizona
1145,Arkansas
1146,Colorado
1147,Connecticut
1148,Delaware
1149,Florida
1150,Georgia
1151,Idaho
1152,Illinois
1153,Indiana
1154,Iowa
1155,Kansas
1156,Kentucky
1157,Louisiana
1158,Maine
1159,Maryland
1160,Massachusetts
1161,Michigan
1162,Minnesota
1163,Mississippi
1164,Missouri
1165,Montana
1166,Nebraska
1167,Nevada
1168,New Hampshire
1169,New Jersey
1170,North Carolina
1171,North Dakota
1172,Ohio
1173,Oklahoma
1174,Oregon
1175,Pennsylvania
1176,Rhode Island
1177,South Carolina
1178,South Dakota
1179,Tennessee
1180,Texas
1181,Utah
1182,Vermont
1183,Virginia
1184,Washington
1185,West Virginia
1186,Wisconsin
1187,Wyoming
1188,Arizona
1189,Arkansas
1190,Colorado
1191,Connecticut
1192,Delaware
1193,Florida
1194,Georgia
1195,Idaho
1196,Illinois
1197,Indiana
1198,Iowa
1199,Kansas
1200,Kentucky
1201,Louisiana
1202,Maine
1203,Maryland
1204,Massachusetts
1205,Michigan
1206,Minnesota
1207,Mississippi
1208,Missouri
1209,Montana
1210,Nebraska
1211,Nevada
1212,New Hampshire
1213,New Jersey
1214,North Carolina
1215,North Dakota
1216,Ohio
1217,Oklahoma
1218,Oregon
1219,Pennsylvania
1220,Rhode Island
1221,South Carolina
1222,South Dakota
1223,Tennessee
1224,Texas
1225,Utah
1226,Vermont
1227,Virginia
1228,Washington
1229,West Virginia
1230,Wisconsin
1231,Wyoming
1232,Arizona
1233,Arkansas
1234,Colorado
1235,Connecticut
1236,Delaware
1237,Florida
1238,Georgia
1239,Idaho
1240,Illinois
1241,Indiana
1242,Iowa
1243,Kansas
1244,Kentucky
1245,Louisiana
1246,Maine
1247,Maryland
1248,Massachusetts
1249,Michigan
1250,Minnesota
1251,Mississippi
1252,Missouri
1253,Montana
1254,Nebraska
1255,Nevada
1256,New Hampshire
1257,New Jersey
1258,North Carolina
1259,North Dakota
1260,Ohio
1261,Oklahoma
1262,Oregon
1263,Pennsylvania
1264,Rhode Island
1265,South Carolina
1266,South Dakota
1267,Tennessee
1268,Texas
1269,Utah
1270,Vermont
1271,Virginia
1272,Washington
1273,West Virginia
1274,Wisconsin
1275,Wyoming
1276,Arizona
1277,Arkansas
1278,Colorado
1279,Connecticut
1280,Delaware
1281,Florida
1282,Georgia
1283,Idaho
1284,Illinois
1285,Indiana
1286,Iowa
1287,Kansas
1288,Kentucky
1289,Louisiana
1290,Maine
1291,Maryland
1292,Massachusetts
1293,Michigan
1294,Minnesota
1295,Mississippi
1296,Missouri
1297,Montana
1298,Nebraska
1299,Nevada
1300,New Hampshire
1301,New Jersey
1302,North Carolina
1303,North Dakota
1304,Ohio
1305,Oklahoma
1306,Oregon
1307,Pennsylvania
1308,Rhode Island
1309,South Carolina
1310,South Dakota
1311,Tennessee
1312,Texas
1313,Utah
1314,Vermont
1315,Virginia
1316,Washington
1317,West Virginia
1318,Wisconsin
1319,Wyoming
1320,Arizona
1321,Arkansas
1322,Colorado
1323,Connecticut
1324,Delaware
1325,Florida
1326,Georgia
1327,Idaho
1328,Illinois
1329,Indiana
1330,Iowa
1331,Kansas
1332,Kentucky
1333,Louisiana
1334,Maine
1335,Maryland
1336,Massachusetts
1337,Michigan
1338,Minnesota
1339,Mississippi
1340,Missouri
1341,Montana
1342,Nebraska
1343,Nevada
1344,New Hampshire
1345,New Jersey
1346,North Carolina
1347,North Dakota
1348,Ohio
1349,Oklahoma
1350,Oregon
1351,Pennsylvania
1352,Rhode Island
1353,South Carolina
1354,South Dakota
1355,Tennessee
1356,Texas
1357,Utah
1358,Vermont
1359,Virginia
1360,Washington
1361,West Virginia
1362,Wisconsin
1363,Wyoming
1364,Arizona
1365,Arkansas
1366,Colorado
1367,Connecticut
1368,Delaware
1369,Florida
1370,Georgia
1371,Idaho
1372,Illinois
1373,Indiana
1374,Iowa
1375,Kansas
1376,Kentucky
1377,Louisiana
1378,Maine
1379,Maryland
1380,Massachusetts
1381,Michigan
1382,Minnesota
1383,Mississippi
1384,Missouri
1385,Montana
1386,Nebraska
1387,Nevada
1388,New Hampshire
1389,New Jersey
1390,North Carolina
1391,North Dakota
1392,Ohio
1393,Oklahoma
1394,Oregon
1395,Pennsylvania
1396,Rhode Island
1397,South Carolina
1398,South Dakota
1399,Tennessee
1400,Texas
1401,Utah
1402,Vermont
1403,Virginia
1404,Washington
1405,West Virginia
1406,Wisconsin
1407,Wyoming
1408,Arizona
1409,Arkansas
1410,Colorado
1411,Connecticut
1412,Delaware
1413,Florida
1414,Georgia
1415,Idaho
1416,Illinois
1417,Indiana
1418,Iowa
1419,Kansas
1420,Kentucky
1421,Louisiana
1422,Maine
1423,Maryland
1424,Massachusetts
1425,Michigan
1426,Minnesota
1427,Mississippi
1428,Missouri
1429,Montana
1430,Nebraska
1431,Nevada
1432,New Hampshire
1433,New Jersey
1434,North Carolina
1435,North Dakota
1436,Ohio
1437,Oklahoma
1438,Oregon
1439,Pennsylvania
1440,Rhode Island
1441,South Carolina
1442,South Dakota
1443,Tennessee
1444,Texas
1445,Utah
1446,Vermont
1447,Virginia
1448,Washington
1449,West Virginia
1450,Wisconsin
1451,Wyoming
1452,Arizona
1453,Arkansas
1454,Colorado
1455,Connecticut
1456,Delaware
1457,Florida
1458,Georgia
1459,Idaho
1460,Illinois
1461,Indiana
1462,Iowa
1463,Kansas
1464,Kentucky
1465,Louisiana
1466,Maine
1467,Maryland
1468,Massachusetts
1469,Michigan
1470,Minnesota
1471,Mississippi
1472,Missouri
1473,Montana
